************************** Una Iteración ***********************

C:\Users\Daniel\Documents\GitHub\rit2>perl parser.pl pr 0.0001 1
Iteracion 0
                Enlaces Enlaces
Page Rank       Entrada Salida  Ruta
17.4627         79      79      D:/HTML/index.html
2.0105          10      8       D:/HTML/install-free.html
1.7474          8       8       D:/HTML/samba.html
1.7191          8       8       D:/HTML/cmdline.html
1.6058          8       8       D:/HTML/command.html
1.4641          7       8       D:/HTML/ext2fs.html
1.4641          7       6       D:/HTML/fs-and-mntpoints.html
1.2941          6       6       D:/HTML/compiling.html
1.2516          6       6       D:/HTML/fhs.html
1.1524          5       5       D:/HTML/unix-basics.html
1.0391          4       3       D:/HTML/glossary.html
1.0391          5       7       D:/HTML/foreword.html
0.9966          5       4       D:/HTML/basics-process.html
0.9753          5       4       D:/HTML/glob-regex.html
0.9399          4       4       D:/HTML/x2056.html
0.9399          4       5       D:/HTML/control.html
0.9328          5       3       D:/HTML/sysv.html
0.8974          4       4       D:/HTML/x4125.html
0.8691          4       4       D:/HTML/prog-msec.html
0.8691          4       4       D:/HTML/text.html
0.8620          5       4       D:/HTML/shell-pipes.html
0.8266          4       5       D:/HTML/el.html
0.8266          4       3       D:/HTML/print.html
0.7983          4       4       D:/HTML/x2788.html
0.7983          4       4       D:/HTML/compiling-conf.html
0.7983          4       4       D:/HTML/x3582.html
0.7780          4       4       D:/HTML/tools.html
0.7780          4       5       D:/HTML/convention.html
0.7780          4       3       D:/HTML/gpl.html
0.7628          4       4       D:/HTML/ext2fs-pipe.html
0.7628          4       4       D:/HTML/install-free-config.html
0.7628          4       4       D:/HTML/command-many.html
0.7558          4       4       D:/HTML/x4343.html
0.7558          4       4       D:/HTML/fhs-usr.html
0.7274          4       4       D:/HTML/x3630.html
0.7274          3       3       D:/HTML/x7003.html
0.7274          4       4       D:/HTML/compiling-module.html
0.7274          4       5       D:/HTML/fhs-var.html
0.7203          4       4       D:/HTML/samba-installation.html
0.6920          4       4       D:/HTML/samba-tools.html
0.6920          4       4       D:/HTML/install-free-installation.html
0.6920          4       4       D:/HTML/cmdline-end.html
0.6920          4       4       D:/HTML/x3876.html
0.6920          4       4       D:/HTML/cmdline-completion.html
0.6920          4       5       D:/HTML/samba-conf.html
0.6920          4       4       D:/HTML/install-free-compilation.html
0.6920          4       4       D:/HTML/install-free-support.html
0.6920          4       4       D:/HTML/samba-gui.html
0.6920          4       4       D:/HTML/command-cron.html
0.6920          4       5       D:/HTML/command-tar.html
0.6920          4       4       D:/HTML/cmdline-job.html
0.6647          4       4       D:/HTML/translator-note.html
0.6495          4       4       D:/HTML/x3905.html
0.6495          4       5       D:/HTML/x3942.html
0.6495          4       4       D:/HTML/x597.html
0.6495          4       4       D:/HTML/samba-check.html
0.6495          4       4       D:/HTML/command-at.html
0.6495          4       4       D:/HTML/command-bzip2.html
0.6212          4       4       D:/HTML/compiling-install.html
0.6212          4       4       D:/HTML/x3701.html
0.6141          4       4       D:/HTML/fhs-etc.html
0.6141          3       3       D:/HTML/sysv-levels.html
0.5858          4       4       D:/HTML/install-free-ack.html
0.5858          3       3       D:/HTML/x1782.html
0.5858          3       3       D:/HTML/x2712.html
0.5503          3       3       D:/HTML/print-print.html
0.5433          3       3       D:/HTML/x432.html
0.5433          3       3       D:/HTML/x4298.html
0.5433          3       3       D:/HTML/x4080.html
0.5149          3       3       D:/HTML/x3567.html
0.5149          3       3       D:/HTML/fhs-root.html
0.5149          3       3       D:/HTML/compiling-unpack.html
0.5008          3       3       D:/HTML/introduction.html
0.4947          3       3       D:/HTML/authors.html
0.4795          3       4       D:/HTML/command-find.html
0.4795          3       3       D:/HTML/decompression.html
0.4795          3       3       D:/HTML/samba-capability.html
0.4795          3       3       D:/HTML/cmdline-attr.html
0.4795          3       3       D:/HTML/x3803.html
0.4441          2       2       D:/HTML/i8517.html
